"filename", "language", "TypeScript", "HTML", "Vue", "SCSS", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/stores/system/composables/usePlatform.ts", "TypeScript", 45, 0, 0, 0, 0, 17, 11, 73
"/Users/peaker/dev/solar-finance/src/stores/system/composables/useViewport.ts", "TypeScript", 56, 0, 0, 0, 0, 27, 17, 100
"/Users/peaker/dev/solar-finance/src/stores/system/constants.ts", "TypeScript", 35, 0, 0, 0, 0, 13, 4, 52
"/Users/peaker/dev/solar-finance/src/stores/system/index.ts", "TypeScript", 4, 0, 0, 0, 0, 3, 2, 9
"/Users/peaker/dev/solar-finance/src/stores/system/systemStore.ts", "TypeScript", 211, 0, 0, 0, 0, 96, 45, 352
"/Users/peaker/dev/solar-finance/src/stores/system/types.ts", "TypeScript", 11, 0, 0, 0, 0, 1, 3, 15
"/Users/peaker/dev/solar-finance/src/stores/theme.ts", "TypeScript", 82, 0, 0, 0, 0, 16, 14, 112
"/Users/peaker/dev/solar-finance/src/stores/transaction/defaultTransactions.ts", "TypeScript", 741, 0, 0, 0, 0, 22, 17, 780
"/Users/peaker/dev/solar-finance/src/stores/transaction/index.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 1, 7
"/Users/peaker/dev/solar-finance/src/stores/transaction/transactionService.ts", "TypeScript", 72, 0, 0, 0, 0, 20, 11, 103
"/Users/peaker/dev/solar-finance/src/stores/transaction/transactionStore.ts", "TypeScript", 170, 0, 0, 0, 0, 45, 39, 254
"/Users/peaker/dev/solar-finance/src/stores/transaction/types.ts", "TypeScript", 25, 0, 0, 0, 0, 7, 8, 40
"/Users/peaker/dev/solar-finance/src/stores/user/defaultUsers.ts", "TypeScript", 37, 0, 0, 0, 0, 6, 1, 44
"/Users/peaker/dev/solar-finance/src/stores/user/index.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 1, 7
"/Users/peaker/dev/solar-finance/src/stores/user/types.ts", "TypeScript", 17, 0, 0, 0, 0, 2, 2, 21
"/Users/peaker/dev/solar-finance/src/stores/user/userService.ts", "TypeScript", 140, 0, 0, 0, 0, 52, 23, 215
"/Users/peaker/dev/solar-finance/src/stores/user/userStore.ts", "TypeScript", 171, 0, 0, 0, 0, 60, 41, 272
"/Users/peaker/dev/solar-finance/src/styles/_mixins.scss", "SCSS", 0, 0, 0, 20, 0, 1, 3, 24
"/Users/peaker/dev/solar-finance/src/styles/components/_forms.scss", "SCSS", 0, 0, 0, 137, 0, 16, 25, 178
"/Users/peaker/dev/solar-finance/src/styles/components/_inputs.scss", "SCSS", 0, 0, 0, 30, 0, 1, 3, 34
"/Users/peaker/dev/solar-finance/src/styles/main.scss", "SCSS", 0, 0, 0, 76, 0, 14, 18, 108
"/Users/peaker/dev/solar-finance/src/styles/themes/_colors.scss", "SCSS", 0, 0, 0, 58, 0, 15, 13, 86
"/Users/peaker/dev/solar-finance/src/styles/themes/_dark.scss", "SCSS", 0, 0, 0, 35, 0, 12, 10, 57
"/Users/peaker/dev/solar-finance/src/styles/themes/_light.scss", "SCSS", 0, 0, 0, 35, 0, 12, 10, 57
"/Users/peaker/dev/solar-finance/src/styles/themes/_typography.scss", "SCSS", 0, 0, 0, 66, 0, 13, 17, 96
"/Users/peaker/dev/solar-finance/src/styles/themes/_variables.scss", "SCSS", 0, 0, 0, 52, 0, 17, 14, 83
"/Users/peaker/dev/solar-finance/src/types/base.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 5
"/Users/peaker/dev/solar-finance/src/utils/debounce.ts", "TypeScript", 16, 0, 0, 0, 0, 9, 4, 29
"/Users/peaker/dev/solar-finance/src/views/AccountsView.vue", "Vue", 0, 0, 184, 0, 0, 4, 24, 212
"/Users/peaker/dev/solar-finance/src/views/DashboardView.vue", "Vue", 0, 0, 221, 0, 0, 4, 19, 244
"/Users/peaker/dev/solar-finance/src/views/DebugStoreView.vue", "Vue", 0, 0, 643, 0, 0, 4, 59, 706
"/Users/peaker/dev/solar-finance/src/views/MoreView.vue", "Vue", 0, 0, 252, 0, 0, 8, 33, 293
"/Users/peaker/dev/solar-finance/src/views/NotFoundView.vue", "Vue", 0, 0, 32, 0, 0, 1, 4, 37
"/Users/peaker/dev/solar-finance/src/views/PinLoginView.vue", "Vue", 0, 0, 223, 0, 0, 5, 37, 265
"/Users/peaker/dev/solar-finance/src/views/account/popup/AccountAddPopup.vue", "Vue", 0, 0, 366, 0, 0, 13, 52, 431
"/Users/peaker/dev/solar-finance/src/views/account/popup/AccountEditPopup.vue", "Vue", 0, 0, 410, 0, 0, 11, 58, 479
"/Users/peaker/dev/solar-finance/src/views/account/popup/AccountSelectorPopup.vue", "Vue", 0, 0, 485, 0, 0, 13, 82, 580
"/Users/peaker/dev/solar-finance/src/views/account/popup/BookAccountsPopup.vue", "Vue", 0, 0, 471, 0, 0, 6, 93, 570
"/Users/peaker/dev/solar-finance/src/views/account/popup/components/AccountIcon.vue", "Vue", 0, 0, 107, 0, 0, 3, 14, 124
"/Users/peaker/dev/solar-finance/src/views/account/popup/components/AccountSharingPicker.vue", "Vue", 0, 0, 186, 0, 0, 1, 30, 217
"/Users/peaker/dev/solar-finance/src/views/account/popup/components/AccountTypeSelector.vue", "Vue", 0, 0, 151, 0, 0, 1, 25, 177
"/Users/peaker/dev/solar-finance/src/views/account/popup/composables/useAccountManagement.ts", "TypeScript", 76, 0, 0, 0, 0, 18, 20, 114
"/Users/peaker/dev/solar-finance/src/views/account/popup/composables/useAccountSharing.ts", "TypeScript", 50, 0, 0, 0, 0, 23, 10, 83
"/Users/peaker/dev/solar-finance/src/views/account/popup/composables/useAccountTypes.ts", "TypeScript", 84, 0, 0, 0, 0, 36, 10, 130
"/Users/peaker/dev/solar-finance/src/views/book/page/BooksView.vue", "Vue", 0, 0, 72, 0, 0, 7, 17, 96
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookFilterView.vue", "Vue", 0, 0, 52, 0, 0, 1, 10, 63
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookFinanceSummary.vue", "Vue", 0, 0, 359, 0, 0, 16, 60, 435
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookHeader.vue", "Vue", 0, 0, 36, 0, 0, 1, 7, 44
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookPercentageSlider.vue", "Vue", 0, 0, 281, 0, 0, 8, 40, 329
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookTransactionGroup.vue", "Vue", 0, 0, 63, 0, 0, 1, 11, 75
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookTransactionItem.vue", "Vue", 0, 0, 178, 0, 0, 1, 38, 217
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookTransactionsList.vue", "Vue", 0, 0, 62, 0, 0, 1, 11, 74
"/Users/peaker/dev/solar-finance/src/views/book/page/components/DashBoardBook.vue", "Vue", 0, 0, 25, 0, 0, 0, 4, 29
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookContext.ts", "TypeScript", 255, 0, 0, 0, 0, 47, 58, 360
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookFinanceSummary.ts", "TypeScript", 132, 0, 0, 0, 0, 23, 31, 186
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookSelect.ts", "TypeScript", 105, 0, 0, 0, 0, 15, 20, 140
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookTransactions.ts", "TypeScript", 48, 0, 0, 0, 0, 8, 13, 69
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/usePercentageSlider.ts", "TypeScript", 207, 0, 0, 0, 0, 43, 61, 311
"/Users/peaker/dev/solar-finance/src/views/book/popup/EditBookPopup.vue", "Vue", 0, 0, 35, 0, 0, 1, 5, 41
"/Users/peaker/dev/solar-finance/src/views/book/popup/NewBookPopup.vue", "Vue", 0, 0, 30, 0, 0, 1, 5, 36
"/Users/peaker/dev/solar-finance/src/views/currency/popup/CurrencyPopup.vue", "Vue", 0, 0, 162, 0, 0, 3, 25, 190
"/Users/peaker/dev/solar-finance/src/views/icon/popup/IconSelectorPopup.vue", "Vue", 0, 0, 361, 0, 0, 6, 52, 419
"/Users/peaker/dev/solar-finance/src/views/profile/pages/ProfileView.vue", "Vue", 0, 0, 95, 0, 0, 1, 18, 114
"/Users/peaker/dev/solar-finance/src/views/profile/pages/composables/useSimpleTheme.ts", "TypeScript", 50, 0, 0, 0, 0, 20, 17, 87
"/Users/peaker/dev/solar-finance/src/views/profile/pages/composables/useTheme.ts", "TypeScript", 36, 0, 0, 0, 0, 15, 13, 64
"/Users/peaker/dev/solar-finance/src/views/transaction/TransactionView.vue", "Vue", 0, 0, 588, 0, 0, 8, 96, 692
"/Users/peaker/dev/solar-finance/src/views/transaction/components/AccountSelector.vue", "Vue", 0, 0, 195, 0, 0, 2, 29, 226
"/Users/peaker/dev/solar-finance/src/views/transaction/components/AmountSection.vue", "Vue", 0, 0, 190, 0, 0, 5, 24, 219
"/Users/peaker/dev/solar-finance/src/views/transaction/components/BookSelector.vue", "Vue", 0, 0, 135, 0, 0, 1, 19, 155
"/Users/peaker/dev/solar-finance/src/views/transaction/components/NumberKeypad.vue", "Vue", 0, 0, 147, 0, 0, 1, 17, 165
"/Users/peaker/dev/solar-finance/src/views/transaction/components/PercentageSlider.vue", "Vue", 0, 0, 57, 0, 0, 3, 8, 68
"/Users/peaker/dev/solar-finance/src/views/transaction/components/TransactionTypeSelector.vue", "Vue", 0, 0, 173, 0, 0, 3, 26, 202
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/index.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 1, 9
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useAccount.ts", "TypeScript", 132, 0, 0, 0, 0, 37, 27, 196
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useCategory.ts", "TypeScript", 74, 0, 0, 0, 0, 22, 17, 113
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useCurrency.ts", "TypeScript", 148, 0, 0, 0, 0, 48, 34, 230
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useDistribution.ts", "TypeScript", 53, 0, 0, 0, 0, 17, 11, 81
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useDistributionControl.ts", "TypeScript", 67, 0, 0, 0, 0, 32, 16, 115
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useKeypad.ts", "TypeScript", 38, 0, 0, 0, 0, 22, 7, 67
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useTransaction.ts", "TypeScript", 139, 0, 0, 0, 0, 27, 27, 193
"Total", "-", 6855, 0, 7321, 509, 3388, 1885, 3104, 23062
